,Name,Institution1,Institution2
2181,Steven  Venti ,"Economics Department, Dartmouth College, Hanover, New Hampshire (USA)",
2182,Paul D. Evans †,,
2183,James  Schmitz ,"Research Department, Federal Reserve Bank of Minneapolis, Minneapolis, Minnesota (USA)",
2184,Ayse  Imrohoroglu ,"Department of Finance and Business Economics, Marshall School of Business, University of Southern California, Los Angeles, California (USA)",
2185,Frank Joseph Chaloupka IV,"Department of Economics, University of Illinois at Chicago, Chicago, Illinois (USA)",
2186,Esther  Gal-Or ,"Katz Graduate School of Business, University of Pittsburgh, Pittsburgh, Pennsylvania (USA)",
2187,Behzad T. Diba ,"Economics Department, Georgetown University, Washington, District of Columbia (USA)",
2188,Hans-Theo  Normann ,"Düsseldorf Institute for Competition Economics (DICE), Wirtschaftswissenschaftliche Fakultät, Heinriche-Heine-Universität Düsseldorf, Düsseldorf, Germany",
2189,Julian M. Alston ,"Department of Agricultural and Resource Economics, University of California-Davis, Davis, California (USA)",
2190,Walter Y. Oi †,,
2191,Federico  Echenique ,"Division of Social Sciences, California Institute of Technology, Pasadena, California (USA)",
2192,Barry J. Nalebuff ,"School of Management, Yale University, New Haven, Connecticut (USA)",
2193,Marc  Flandreau ,,
2194,Fabian  Valencia ,"International Monetary Fund (IMF), Washington, District of Columbia (USA)",
2195,Andrea  Tambalotti ,"Research and Statistics Group, Federal Reserve Bank of New York, New York City, New York (USA)",
2196,Yan  Chen ,"Socio-Technical Infrastructure for Electronic Transactions (STIET), University of Michigan, Ann Arbor, Michigan (USA)",
2197,Lars Birger Jonung ,"Nationalekonomiska Institutionen, Ekonomihögskolan, Lunds Universitet, Lund, Sweden",
2198,Benjamin  Eden ,"Department of Economics, Vanderbilt University, Nashville, Tennessee (USA)",
2199,Joao  Santos ,"Federal Reserve Bank of New York, New York City, New York (USA)",
2200,Norman  Gemmell ,"Victoria Business School, Victoria University of Wellington, Wellington, New Zealand",
2201,Adam B. Ashcraft ,"Research and Statistics Group, Federal Reserve Bank of New York, New York City, New York (USA)",
2202,Jacques  Crémer ,"Institut d'Économie Industrielle (IDEI), Toulouse School of Economics (TSE), Toulouse, France",
2203,Thomas Wayne Ross ,"Strategy and Business Economics Division, Sauder School of Business, University of British Columbia, Vancouver, Canada",
2204,Hiro  Ito ,"Department of Economics, Portland State University, Portland, Oregon (USA)",
2205,Jan  Kregel ,"Levy Economics Institute, Bard College, Annandale-on-Hudson, New York (USA)",
2206,Martin  Paldam ,"School of Economics and Management, Institut for Økonomi, Aarhus Universitet, Aarhus, Denmark",
2207,Kyoji  Fukao ,"Institute of Developing Economies, Japan External Trade Organization (JETRO), Government of Japan, Tokyo, Japan",
2208,Colm P. Harmon ,"School of Economics, Faculty of Arts and Social Sciences, University of Sydney, Sydney, Australia",
2209,Philip Kenneth Robins ,"Department of Economics, School of Business, University of Miami, Coral Gables, Florida (USA)",
2210,Gaëtan J.A. Nicodème ,"Directorate-General Taxation and Custom Union, European Commission, Bruxelles/Brussel, Belgium",
2211,Oz  Shy ,"Economic Research Department, Federal Reserve Bank of Atlanta, Atlanta, Georgia (USA)",
2212,George R.G. Clarke ,"Division of International Banking &amp; Finance Studies, Texas A&amp;M International University, Laredo, Texas (USA)",
2213,Bruce Alan Babcock ,"School of Public Policy, University of California-Riverside, Riverside, California (USA)",
2214,Devashish  Mitra ,"Department of Economics, Maxwell School, Syracuse University, Syracuse, New York (USA)",
2215,Kenneth Lee Sokoloff †,,
2216,Maurice David Kugler ,"Schar School of Policy and Government, George Mason University, Arlington, Virginia (USA)",
2217,Paul  Segerstrom ,"Department of Economics, Handelshögskolan i Stockholm, Stockholm, Sweden",
2218,Kevin F. Hallock ,"Department of Economics, Cornell University, Ithaca, New York (USA)",
2219,Boris  Hofmann ,"Bank for International Settlements (BIS), Basel, Switzerland",
2220,Jean-Marie  Baland ,"Centre de Recherche en Économie de Développement (CRED), Faculté des Sciences Économiques, Sociales et de Gestion (FSESG), Université de Namur, Namur, Belgium",
2221,James P. LeSage ,"McCoy College of Business Administration, Texas State University, San Marcos, Texas (USA)",
2222,Harvey E. Lapan ,"Department of Economics, Iowa State University, Ames, Iowa (USA)",
2223,Tarun  Ramadorai ,"Business School, Imperial College, London, United Kingdom",
2224,Lars A Stole ,"Booth School of Business, University of Chicago, Chicago, Illinois (USA)",
2225,Michele  Tertilt ,"Abteilung für Volkswirtschaftslehre, Universität Mannheim, Mannheim, Germany",
2226,Toshihiro  Matsumura ,"Institute of Social Science, University of Tokyo, Tokyo, Japan",
2227,Itzhak  Zilcha ,"Eitan Berglas School of Economics, Tel Aviv University, Tel Aviv, Israel",
2228,Jerome  Creel ,"Centre de recherche en Économie (OFCE), Sciences économiques, Sciences Po, Paris, France",
2229,Shmuel  Kandel †,,
2230,Donggyu  Sul ,"Department of Economics, University of Texas-Dallas, Dallas, Texas (USA)",
2231,Rachel  Kranton ,"Department of Economics, Duke University, Durham, North Carolina (USA)",
2232,Dean  Croushore ,"Economics Department, University of Richmond, Richmond, Virginia (USA)",
2233,Dan  Silverman ,"Department of Economics, W.P. Carey School of Business, Arizona State University, Tempe, Arizona (USA)",
2234,Ross Leslie Watts ,"Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",
2235,Karen  Palmer ,"Resources for the Future (RFF), Washington, District of Columbia (USA)",
2236,Barton Hughes Hamilton ,"Olin School of Business, Washington University in St. Louis, St. Louis, Missouri (USA)",
2237,Wayne  Ferson ,"Finance Department, Wallace E. Carroll School of Management, Boston College, Chestnut Hill, Massachusetts (USA)",
2238,John Preston Laitner ,"Economics Department, University of Michigan, Ann Arbor, Michigan (USA)",
2239,Adolfo  Meisel Roca ,"Instituto de Estudios Económicos del Caribe, Universidad del Norte, Barranquilla, Colombia",
2240,Herman J. Bierens ,"Department of Economics, Pennsylvania State University, State College, Pennsylvania (USA)",
2241,Christian  Keuschnigg ,"School of Economics and Political Science, Universität St. Gallen, Sankt Gallen, Switzerland","Forschungsgemeinschaft für Nationalökonomie, School of Economics and Political Science, Universität St. Gallen, Sankt Gallen, Switzerland"
2242,Alan Donald Woodland ,"School of Economics, UNSW Business School, UNSW Sydney, Sydney, Australia",
2243,V  Bhaskar ,"Department of Economics, University of Texas-Austin, Austin, Texas (USA)",
2244,Kevin  Roberts ,"Department of Economics, Oxford University, Oxford, United Kingdom",
2245,Rainer  Winkelmann ,"Institut für Volkswirtschaftslehre, Wirtschaftswissenschaftliche Fakutät, Universität Zürich, Zürich, Switzerland",
2246,Paulo  Guimaraes ,"Banco de Portugal, Lisboa, Portugal",
2247,Ira N. Gang ,"Department of Economics, Rutgers University-New Brunswick, New Brunswick, New Jersey (USA)",
2248,Eric D. Gould ,"Department of Economics, Hebrew University of Jerusalem, Jerusalem, Israel",
2249,Ernst-Ludwig  von Thadden ,"Abteilung für Volkswirtschaftslehre, Universität Mannheim, Mannheim, Germany",
2250,Raffaella  Sadun ,"Strategy Unit, Harvard Business School, Harvard University, Cambridge, Massachusetts (USA)","Centre for Economic Performance (CEP), London School of Economics (LSE), London, United Kingdom"
2251,Maximo  Torero ,"Food and Agriculture Organization (FAO), United Nations, Roma, Italy",
2252,Kenneth John Button ,"Schar School of Policy and Government, George Mason University, Arlington, Virginia (USA)",
2253,Cristina  Arellano ,"Research Department, Federal Reserve Bank of Minneapolis, Minneapolis, Minnesota (USA)",
2254,Shawkat  Hammoudeh ,"School of Economics, LeBow College of Business, Drexel University, Philadelphia, Pennsylvania (USA)",
2255,Franco  Malerba ,"Knowledge, Internationalization and Technology Studies (KITeS/CESPRI), Università Commerciale Luigi Bocconi, Milano, Italy",
2256,Fernando  Vega-Redondo ,"Dipartimento di Scienze delle Decisioni, Università Commerciale Luigi Bocconi, Milano, Italy","Innocenzo Gasparini Institute for Economic Research (IGIER), Università Commerciale Luigi Bocconi, Milano, Italy"
2257,Murray C. Kemp ,"School of Economics, UNSW Business School, UNSW Sydney, Sydney, Australia",
2258,George M. von Furstenberg ,"Department of Economics, Indiana University, Bloomington, Indiana (USA)",
2259,Alessandra  Fogli ,"Research Department, Federal Reserve Bank of Minneapolis, Minneapolis, Minnesota (USA)",
2260,Darius Noshir Lakdawalla ,"Leonard D. Schaeffer Center for Health Policy and Economics, University of Southern California, Los Angeles, California (USA)",
2261,Mikael  Lindahl ,"Nationalekonomiska institutionen, Handelshögskolan, Göteborgs Universitet, Göteborg, Sweden",
2262,Omar  Licandro ,"Centre for Finance, Credit and Macroeconomics (CFCM), School of Economics, University of Nottingham, Nottingham, United Kingdom",
2263,Selahattin  Imrohoroglu ,"Department of Finance and Business Economics, Marshall School of Business, University of Southern California, Los Angeles, California (USA)",
2264,Brad  Humphreys ,"Department of Economics, College of Business and Economics, West Virginia University, Morgantown, West Virginia (USA)",
2265,Ashok K. Mishra ,"W.P. Carey School of Business, Arizona State University, Tempe, Arizona (USA)","Morrison School of Agribusiness &amp; Resource Management, Arizona State University Polytechnic, Mesa, Arizona (USA)"
2266,B Wade Brorsen ,"Department of Agricultural Economics, Oklahoma State University, Stillwater, Oklahoma (USA)",
2267,Oliver  Falck ,"ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V., München, Germany",
2268,Benoit  Mojon ,"Bank for International Settlements (BIS), Basel, Switzerland",
2269,Kenneth  Kletzer ,"Economics Department, University of California-Santa Cruz (UCSC), Santa Cruz, California (USA)",
2270,Melissa Schettini Kearney ,"Department of Economics, University of Maryland, College Park, Maryland (USA)",
2271,Victor  Aguirregabiria ,"Department of Economics, University of Toronto, Toronto, Canada",
2272,Simon  Wren-Lewis ,"Department of Economics, Oxford University, Oxford, United Kingdom",
2273,Thomas J. Prusa ,"Department of Economics, Rutgers University-New Brunswick, New Brunswick, New Jersey (USA)",
2274,Federico  Belotti ,"Centro di Studi Internazionali Sull'Economia e la Sviluppo (CEIS), Facoltà di Economia, Università degli Studi di Roma ""Tor Vergata"", Roma, Italy","Dipartimento di Economia e Finanza, Facoltà di Economia, Università degli Studi di Roma ""Tor Vergata"", Roma, Italy"
2275,Bertil  Holmlund ,"Nationalekonomiska Institutionen, Uppsala Universitet, Uppsala, Sweden",
2276,Robert  Korajczyk ,"Department of Finance, Kellogg Graduate School of Management, Northwestern University, Evanston, Illinois (USA)",
2277,Samuel G. Hanson ,"Finance Unit, Harvard Business School, Harvard University, Cambridge, Massachusetts (USA)",
2278,Wei-Bin  Zhang ,"College of International Management, Ritsumeikan Asia Pacific University, Beppu, Japan",
2279,Marcin  Kacperczyk ,"Centre for Economic Policy Research (CEPR), London, United Kingdom",
2280,Benjamin  Moll ,"Department of Economics, Princeton University, Princeton, New Jersey (USA)","Woodrow Wilson School of Public and International Affairs, Princeton University, Princeton, New Jersey (USA)"
2281,Hugh  Rockoff ,"Department of Economics, Rutgers University-New Brunswick, New Brunswick, New Jersey (USA)",
2282,Nauro F. Campos ,"Centre for Comparative Economics, School of Slavonic and East European Studies, University College London (UCL), London, United Kingdom",
2283,Amir  Yaron ,"Finance Department, Wharton School of Business, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",
2284,John V. Duca ,"Economic Research Department, Federal Reserve Bank of Dallas, Dallas, Texas (USA)",
2285,David W. Pearce †,,
2286,Christian  Pierdzioch ,"Fächergruppe Volkswirtschaftslehre, Helmut Schmidt Universität Hamburg, Hamburg, Germany",
2287,Hamid  Beladi ,"Department of Economics, College of Business, University of Texas-San Antonio, San Antonio, Texas (USA)",
2288,Marcus  Berliant ,"Department of Economics, Washington University in St. Louis, St. Louis, Missouri (USA)",
2289,Heinz  Welsch ,"Institut für Volkswirtschaftslehre, Carl von Ossietzky Universität Oldenburg, Oldenburg, Germany",
2290,Lee A. Lillard †,,
2291,Harald  Hau ,"Swiss Finance Institute, Genève/Zürich, Switzerland",
2292,John Edward McLaren ,"Department of Economics, University of Virginia, Charlottesville, Virginia (USA)","National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)"
2293,Frank J. Fabozzi ,"Département Comptabilité, Droit, Finance et Économie, Groupe EDHEC (École de Hautes Études Commerciales du Nord), Lille/Paris, France","EDHEC-Risk, Groupe EDHEC (École de Hautes Études Commerciales du Nord), Lille/Paris, France"
2294,Bertil  Tungodden ,"Institutt for samfunnsøkonomi, Norges Handelshøyskole (NHH), Bergen, Norway",
2295,Robert E.B. Lucas ,"Department of Economics, Boston University, Boston, Massachusetts (USA)",
2296,Kevin J. Lansing ,"Economic Research, Federal Reserve Bank of San Francisco, San Francisco, California (USA)","Federal Reserve Bank of San Francisco, San Francisco, California (USA)"
2297,Sergio  Firpo ,"Insper Instituto de Ensino e Pesquisa, São Paulo, Brazil",
2298,Francine  Lafontaine ,"Department of Business Economics and Public Policy, Ross School of Business, University of Michigan, Ann Arbor, Michigan (USA)",
2299,Olivier  Cadot †,,
2300,David N. Margolis ,"Paris School of Economics, Paris, France",
2301,Khalid  Sekkat ,"Centre Emile Bernheim, Solvay Brussels School of Economics and Management, Université Libre de Bruxelles, Bruxelles, Belgium",
2302,Gareth Donald Myles ,"School of Economics, University of Adelaide, Adelaide, Australia",
2303,Jörg  Oechssler ,"Alfred-Weber-Institut für Wirtschaftswissenschaften, Fakultät für Wirtschafts- und Sozialwissenschaften, Ruprecht-Karls-Universität Heidelberg, Heidelberg, Germany",
2304,Harry J Paarsch ,"College of Business Administration, University of Central Florida, Orlando, Florida (USA)",
2305,Daniela  Del Boca ,"Collegio Carlo Alberto, Università degli Studi di Torino, Moncalieri, Italy",
2306,James L. Medoff †,,
2307,Jeffrey R. Campbell ,"Economic Research Department, Federal Reserve Bank of Chicago, Chicago, Illinois (USA)",
2308,J. Edward  Taylor ,"Department of Agricultural and Resource Economics, University of California-Davis, Davis, California (USA)",
2309,Steven  Stern ,"Economics Department, Stony Brook University - SUNY, Stony Brook, New York (USA)",
2310,Graham  Loomes ,,
2311,Markus  Marterbauer ,"Abteilung Wirtschaftswissenschaft und Statistik, Kammer für Arbeiter und Angestellte für Wien, Wien, Austria",
2312,David  Donaldson ,"Vancouver School of Economics, University of British Columbia, Vancouver, Canada",
2313,Pietro  Garibaldi ,"Dipartimento di Scienze Economico-Sociali e Matematico-Statistiche, Università degli Studi di Torino, Torino, Italy","Collegio Carlo Alberto, Università degli Studi di Torino, Moncalieri, Italy"
2314,Francisco L. Rivera-Batiz ,"School of International and Public Affairs (SIPA), Columbia University, New York City, New York (USA)",
2315,William Hoban Branson †,,
2316,Sjak  Smulders ,"CentER for Economic Research, School of Economics and Management, Universiteit van Tilburg, Tilburg, Netherlands",
2317,Gustavo Jaime Ventura ,"Department of Economics, W.P. Carey School of Business, Arizona State University, Tempe, Arizona (USA)",
2318,Dhammika  Dharmapala ,"Institute of Law and Economics, Law School, University of Chicago, Chicago, Illinois (USA)",
2319,Matias Damian Cattaneo ,"Department of Operations Research and Financial Engineering (ORFE), Princeton University, Princeton, New Jersey (USA)",
2320,Marianne Elizabeth Page ,"Economics Department, University of California-Davis, Davis, California (USA)",
2321,Raman  Uppal ,"Département Comptabilité, Droit, Finance et Économie, Groupe EDHEC (École de Hautes Études Commerciales du Nord), Lille/Paris, France",
2322,Cuong Viet Nguyen ,"Mekong Development Research Institute, Hanoi, Viet Nam",
2323,Donald P. Morgan ,"Research and Statistics Group, Federal Reserve Bank of New York, New York City, New York (USA)",
2324,Michael T. Owyang ,"Research Division, Federal Reserve Bank of St. Louis, St. Louis, Missouri (USA)",
2325,John  Mullahy ,,
2326,Gerald A. Carlino ,"Federal Reserve Bank of Philadelphia, Philadelphia, Pennsylvania (USA)",
2327,Peter B. Kenen †,,
2328,Han  Hong ,"Department of Economics, Stanford University, Stanford, California (USA)",
2329,Ronald  Findlay ,"Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",
2330,Liuren  Wu ,"Zicklin School of Business, Baruch College, City University of New York (CUNY), New York City, New York (USA)",
2331,Joerg  Baten ,"Wirtschaftswissenschaftlichen Fakultät, Eberhard-Karls-Universität Tübingen, Tübingen, Germany",
2332,Roland Gerhard Fryer ,"Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",
2333,Chihwa  Kao ,"Department of Economics, University of Connecticut, Storrs, Connecticut (USA)",
2334,Lex  Borghans ,"Vakgroep Algemene Economie, School of Business and Economics, Maastricht University, Maastricht, Netherlands",
2335,Keith  Ihlanfeldt ,"Department of Economics, Florida State University, Tallahassee, Florida (USA)",
2336,Jozef  Konings ,"Centrum voor Economische Studiën, Faculteit Economie en Bedrijfswetenschappen, KU Leuven, Leuven, Belgium",
2337,Stephen  Broadberry ,"Economics Group, Nuffield College, Department of Economics, Oxford University, Oxford, United Kingdom",
2338,Carlos Esteban Posada ,"Escuela de Economía y Finanzas, Universidad EAFIT, Medellín, Colombia","Centro de Investigaciones Económicas y Financieras (CIEF), Escuela de Economía y Finanzas, Universidad EAFIT, Medellín, Colombia"
2339,David  de Meza ,"Department of Management, London School of Economics (LSE), London, United Kingdom",
2340,Emi  Nakamura ,"Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",
2341,Thomas  Miceli ,"Department of Economics, University of Connecticut, Storrs, Connecticut (USA)",
2342,M. Ali Khan ,,
2343,John Russel Baldwin ,,
2344,Cees  Withagen ,"Institut de Préparation à l'Administration et à la Gestion (IPAG), Paris, France",
2345,E Philip Davis ,"Department of Economics and Finance, Brunel University, Uxbridge, United Kingdom","National Institute of Economic and Social Research (NIESR), London, United Kingdom"
2346,Salvador  Barrios ,"Joint Research Centre, European Commission, Sevilla, Spain",
2347,Hugh  Gravelle ,"Centre for Health Economics, Department of Economics and Related Studies, University of York, York, United Kingdom",
2348,Mårten  Palme ,"Nationalekonomiska institutionen, Stockholms Universitet, Stockholm, Sweden",
2349,Stefania  Albanesi ,"Department of Economics, University of Pittsburgh, Pittsburgh, Pennsylvania (USA)",
2350,David Gerald Tarr ,"Economics Research, World Bank Group, Washington, District of Columbia (USA)",
2351,James R. Lothian ,"Frank J. Petrilli Center for Research in International Finance (CRIF), Gabelli School of Business, Fordham University, New York City, New York (USA)",
2352,Utku  Unver ,"Department of Economics, Boston College, Chestnut Hill, Massachusetts (USA)",
2353,Masahiro  Kawai ,"Economic Research Institute for Northeast Asia (ERINA), Niigata, Japan",
2354,Luc  Anselin ,"GeoDa Center for Geospatial Analysis and Computation, Arizona State University, Tempe, Arizona (USA)",
2355,Andrew George Haldane ,"Bank of England, London, United Kingdom",
2356,Daniel John Wilson ,"Federal Reserve Bank of San Francisco, San Francisco, California (USA)","Economic Research, Federal Reserve Bank of San Francisco, San Francisco, California (USA)"
2357,Maurice  Schiff ,"Institute of Labor Economics (IZA), Bonn, Germany",
2358,Reuben  Gronau ,"Department of Economics, Hebrew University of Jerusalem, Jerusalem, Israel",
2359,James E. H. Davidson ,"Business School, University of Exeter, Exeter, United Kingdom",
2360,Jeffrey L. Coles ,"Department of Finance, W.P. Carey School of Business, Arizona State University, Tempe, Arizona (USA)",
2361,Peter  Rupert ,,
2362,David  Besanko ,"Kellogg Graduate School of Management, Northwestern University, Evanston, Illinois (USA)",
2363,Luca  Benati ,,
2364,Vasco  Cúrdia ,"Economic Research, Federal Reserve Bank of San Francisco, San Francisco, California (USA)",
2365,Liangjun  Su ,"School of Economics, Singapore Management University, Singapore, Singapore",
2366,Stefan  Homburg ,"Wirtschaftswissenschaftliche Fakultät, Leibniz Universität Hannover, Hannover, Germany",
2367,Romain  Duval ,"Research Department, International Monetary Fund (IMF), Washington, District of Columbia (USA)",
2368,Gregory Dawson Hess ,"CESifo, München, Germany",
2369,Antoine  Martin ,"Research and Statistics Group, Federal Reserve Bank of New York, New York City, New York (USA)",
2370,Lars  Lefgren ,"Department of Economics, Brigham Young University, Provo, Utah (USA)","National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)"
2371,Lorenzo  Cappellari ,"Dipartimento di Economia e Finanza, Dipartimenti e Istituti di Scienze Economiche, Università Cattolica del Sacro Cuore, Milano, Italy",
2372,Jeromin  Zettelmeyer ,"Peter G. Peterson Institute for International Economics (IIE), Washington, District of Columbia (USA)",
2373,C. N.  Teulings ,"Faculteit Economie en Bedrijfskunde, Universiteit van Amsterdam, Amsterdam, Netherlands",
2374,Pau  Rabanal ,"Research Department, International Monetary Fund (IMF), Washington, District of Columbia (USA)",
2375,Til  Schuermann ,,
2376,David A. Hennessy ,"Department of Agricultural, Food and Resource Economics, College of Agriculture and Natural Resources, Michigan State University, East Lansing, Michigan (USA)",
2377,Peter  Murrell ,"Department of Economics, University of Maryland, College Park, Maryland (USA)",
2378,Itzhak  Ben-David ,"Fisher College of Business, Ohio State University, Columbus, Ohio (USA)",
2379,Claude  Montmarquette ,"Centre Interuniversitaire de Recherche en Analyse des Organisations (CIRANO), Montréal, Canada","Département de Sciences Économiques, Université de Montréal, Montréal, Canada"
2380,Ottmar  Edenhofer ,"Mercator Research Institute on Global Commons and Climate Change (MCC), Berlin, Germany","Fakultät Wirtschaft und Management, Technische Universität Berlin, Berlin, Germany"
2381,Pascual  Restrepo ,"Department of Economics, Boston University, Boston, Massachusetts (USA)",
2382,Morten  Lau ,"Økonomisk Institut, Copenhagen Business School, Frederiksberg, Denmark","Department of Economics and Finance, Business School, Durham University, Durham, United Kingdom"
2383,Stephen  Pudney ,"Institute for Social and Economic Research (ISER), University of Essex, Colchester, United Kingdom",
2384,Dan  Rickman ,"Department of Economics, Spears School of Business, Oklahoma State University, Stillwater, Oklahoma (USA)",
2385,Kathleen  McGarry ,"Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",
2386,Thiess  Büttner ,"Wirtschafts- und Sozialwissenschaftliche Fakultät, Friedrich-Alexander-Universität Erlangen-Nürnberg, Erlangen-Nürnberg, Germany",
2387,David A. Dickey ,"Department of Agricultural and Resource Economics, North Carolina State University, Raleigh, North Carolina (USA)",
2388,James D. Adams ,"Department of Economics, Rensselaer Polytechnic Institute, Troy, New York (USA)","National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)"
2389,Francis  Green ,"Centre for Learning and Life Chances in Knowledge Economies and Societies (LLAKES), Institute of Education, London, United Kingdom",
2390,Eric  Sims ,"Department of Economics, University of Notre Dame, South Bend, Indiana (USA)",
2391,Gylfi  Zoega ,"Hagfræðideild, Háskóla Íslands, Reykjavík, Iceland",
2392,Pierre Daniel  Sarte ,"Economic Research Division, Federal Reserve Bank of Richmond, Richmond, Virginia (USA)",
2393,Guntram  Wolff ,"Bruegel, Bruxelles/Brussel, Belgium",
2394,Richard  Paap ,"Econometrisch Instituut, Faculteit der Economische Wetenschappen, Erasmus Universiteit Rotterdam, Rotterdam, Netherlands",
2395,Paula E. Stephan ,"Department of Economics, Andrew Young School of Policy Studies, Georgia State University, Atlanta, Georgia (USA)",
2396,Friedrich  Heinemann ,"Leibniz-Zentrum für Europäische Wirtschaftsforschung (ZEW), Mannheim, Germany",
2397,Huw David Dixon ,"Cardiff Business School, Cardiff University, Cardiff, United Kingdom",
2398,Benoît B. Mandelbrot †,,
2399,Till Marco von Wachter ,"Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",
2400,Xiaodong  Zhu ,"Department of Economics, University of Toronto, Toronto, Canada",
2401,Wim  Naudé ,"Fakultät für Wirtschaftswissenschaften, Rheinisch-Westfälische Technische Hochschule Aachen, Aachen, Germany",
2402,Ann L. Owen ,"Department of Economics, Hamilton College, Clinton, New York (USA)",
2403,Todd  Elder ,"Economics Department, Michigan State University, East Lansing, Michigan (USA)",
2404,David Ezra Sahn ,"Department of Economics, Cornell University, Ithaca, New York (USA)",
2405,Michael  Waterson ,"Department of Economics, University of Warwick, Coventry, United Kingdom",
2406,Adrien  Verdelhan ,"Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",
2407,Glenn  MacDonald ,"Olin School of Business, Washington University in St. Louis, St. Louis, Missouri (USA)",
2408,Shi  Li ,"School of Economics and Business Administration, Beijing Normal University, Beijing, China",
2409,Ravi  Bansal ,"Finance Area, Fuqua School of Business, Duke University, Durham, North Carolina (USA)",
2410,Guido  Cozzi ,"Forschungsgemeinschaft für Nationalökonomie, School of Economics and Political Science, Universität St. Gallen, Sankt Gallen, Switzerland",
2411,Volker  Nocke ,"Abteilung für Volkswirtschaftslehre, Universität Mannheim, Mannheim, Germany",
2412,Robert Christopher Johnson ,"Department of Economics, University of Notre Dame, South Bend, Indiana (USA)",
2413,Catherine Louise Kling ,"Charles H. Dyson School of Applied Economics and Management, Cornell University, Ithaca, New York (USA)",
2414,William Alexander Darity Jr.,"Sanford School of Public Policy, Duke University, Durham, North Carolina (USA)","Department of Economics, Duke University, Durham, North Carolina (USA)"
2415,David  Genesove ,"Department of Economics, Hebrew University of Jerusalem, Jerusalem, Israel",
2416,Michael  Elsby ,"School of Economics, University of Edinburgh, Edinburgh, United Kingdom",
2417,Bernard  Fingleton ,"Department of Land Economy, University of Cambridge, Cambridge, United Kingdom",
2418,Ann Huff Stevens ,"Department of Economics, University of Texas-Austin, Austin, Texas (USA)",
2419,Jonathan  Guryan ,,
2420,Mathias  Trabandt ,"Abteilung Volkswirtschaftslehre, Fachbereich Wirtschaftswissenschaft, Freie Universität Berlin, Berlin, Germany",
2421,Per G. Fredriksson ,"Economics Department, University of Louisville, Louisville, Kentucky (USA)",
2422,Jose A. Lopez ,"Economic Research, Federal Reserve Bank of San Francisco, San Francisco, California (USA)",
2423,Peter George Warr ,"Arndt-Corden Department of Economics, Crawford School of Public Policy, Australian National University, Canberra, Australia",
2424,Mohamed  Arouri ,"Groupe de Recherche en Management (GRM), Institut d'Administration des Entreprises (IAE), Université de Nice-Sophia Antipolis, Nice, France",
2425,Ricardo M. Sousa ,"Departamento de Economia, Escola de Economia e Gestão, Universidade do Minho, Braga, Portugal",
2426,Harry  Garretsen ,"Ruimtelijke Economie Groningen, Faculteit Economie en Bedrijfskunde, Rijksuniversiteit Groningen, Groningen, Netherlands",
2427,Eric P. Bettinger ,"Center for Education Policy Analysis (CEPA), Stanford University, Stanford, California (USA)",
2428,Chia-Lin  Chang ,"Department of Applied Economics, National Chung-Hsing University, Taichung, Taiwan","Department of Finance, National Chung-Hsing University, Taichung, Taiwan"
2429,Alberto  Martin ,"European Central Bank, Frankfurt am Main, Germany",
2430,Knut  Røed ,"Stiftelsen Frischsenteret for samfunnsøkonomisk forskning, Universitetet i Oslo, Oslo, Norway",
2431,William R. Cline ,"Peter G. Peterson Institute for International Economics (IIE), Washington, District of Columbia (USA)",
2432,Reinhard  Madlener ,"Fakultät für Wirtschaftswissenschaften, Rheinisch-Westfälische Technische Hochschule Aachen, Aachen, Germany",
2433,Jacques  Poot ,"National Institute of Demographic and Economic Analysis, University of Waikato, Hamilton, New Zealand","Department of Economics, Waikato Management School, University of Waikato, Hamilton, New Zealand"
2434,Marco  Ottaviani ,"Dipartimento di Economia ""Ettore Bocconi"", Università Commerciale Luigi Bocconi, Milano, Italy",
2435,Sandra  Poncet ,"Centre d'études prospectives et d'informations internationales (CEPII), Paris, France","Paris School of Economics, Paris, France"
2436,Hamid  Mehran ,"Federal Reserve Bank of New York, New York City, New York (USA)",
2437,Ariane  Szafarz ,"Centre Emile Bernheim, Solvay Brussels School of Economics and Management, Université Libre de Bruxelles, Bruxelles, Belgium","Centre for European Research in Microfinance (CERMi), Bruxelles/Brussel, Belgium"
2438,Leigh S Tesfatsion ,"Department of Economics, Iowa State University, Ames, Iowa (USA)",
2439,Sharon  Kozicki ,"Bank of Canada, Ottawa, Canada",
2440,Thomas Nils Samuel Sterner ,"Handelshögskolan, Göteborgs Universitet, Göteborg, Sweden","Enheten för miliöekonomi, Nationalekonomiska institutionen, Handelshögskolan, Göteborgs Universitet, Göteborg, Sweden"
2441,Simone  Manganelli ,"European Central Bank, Frankfurt am Main, Germany",
